group,invariant,invariantType,variables,pptname,tp
data.results.prices.type,"return.type one of { ""digitalPurchasePrice"", ""printPrice"" }",daikon.inv.unary.string.OneOfString,(return.type),main.v1publiccomics{comicId}.getComicIndividual&200&data&results&prices(main.getComicIndividual&Input):::EXIT,1.0
data.results.resourceURI,"return.resourceURI is a substring of return.creators.collectionURI
return.resourceURI is a substring of return.characters.collectionURI
return.resourceURI is a substring of return.stories.collectionURI
return.resourceURI is a substring of return.events.collectionURI
return.resourceURI is Url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.IsUrl","(return.resourceURI, return.creators.collectionURI)
(return.resourceURI, return.characters.collectionURI)
(return.resourceURI, return.stories.collectionURI)
(return.resourceURI, return.events.collectionURI)
(return.resourceURI)","main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT",1.0
data.results.series.resourceURI,return.series.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.series.resourceURI),main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,1.0
data.results.stories.collectionURI,return.stories.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.stories.collectionURI),main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,1.0
data.results.stories.items.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),main.v1publiccomics{comicId}.getComicIndividual&200&data&results&stories&items(main.getComicIndividual&Input):::EXIT,1.0
data.results.thumbnail.path,return.thumbnail.path is Url,daikon.inv.unary.string.IsUrl,(return.thumbnail.path),main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,1.0
data.results.urls.url,return.url is Url,daikon.inv.unary.string.IsUrl,(return.url),main.v1publiccomics{comicId}.getComicIndividual&200&data&results&urls(main.getComicIndividual&Input):::EXIT,1.0
data.results.variants.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),main.v1publiccomics{comicId}.getComicIndividual&200&data&results&variants(main.getComicIndividual&Input):::EXIT,1.0
data.results[data.offset],"return.data.results[return.data.offset] == return.data.results[return.data.total-1]
return.data.results[return.data.offset] == return.data.results[return.data.count-1]","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual","(return.data.results[return.data.offset], return.data.results[return.data.total-1])
(return.data.results[return.data.offset], return.data.results[return.data.count-1])","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
data.total,"input.comicId > return.data.total
return.data.total == return.data.count
return.data.total == size(return.data.results[])
return.data.total == 1","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(input.comicId, return.data.total)
(return.data.total, return.data.count)
(return.data.total, size(return.data.results[..]))
(return.data.total)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
etag,LENGTH(return.etag)==40,daikon.inv.unary.string.FixedLengthString,(return.etag),main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT,1.0
status,"LENGTH(return.status)==2
return.status == ""Ok""","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.status)
(return.status)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
