pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.archive_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.archive_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.assignees_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.assignees_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.blobs_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.blobs_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.branches_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.branches_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.collaborators_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.collaborators_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.comments_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.comments_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.commits_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.commits_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.compare_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.compare_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.contents_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.contents_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.contributors_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.contributors_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.deployments_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.deployments_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.downloads_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.downloads_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.events_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.events_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.forks_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.forks_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.git_commits_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.git_commits_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.git_refs_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.git_refs_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.git_tags_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.git_tags_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.issue_comment_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.issue_comment_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.issue_events_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.issue_events_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.issues_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.issues_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.keys_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.keys_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.labels_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.labels_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.languages_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.languages_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.merges_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.merges_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.milestones_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.milestones_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.notifications_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.notifications_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.pulls_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.pulls_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.releases_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.releases_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.stargazers_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.stargazers_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.url is a substring of return.statuses_url,daikon.inv.binary.twoString.StdString$SubString,"(return.url, return.statuses_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,url
