group,invariant,invariantType,variables,pptname,tp
data.offers.price.taxes.pricingFrequency,"return.pricingFrequency one of { ""PER_NIGHT"", ""PER_STAY"" }",daikon.inv.unary.string.OneOfString,(return.pricingFrequency),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.price.taxes.pricingMode,"return.pricingMode one of { ""PER_OCCUPANT"", ""PER_PRODUCT"" }",daikon.inv.unary.string.OneOfString,(return.pricingMode),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.price.total,return.price.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.total),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.price.variations.average.base,return.price.variations.average.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.variations.average.base),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.price.variations.changes.base,return.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.base),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.price.variations.changes.endDate,return.endDate is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.endDate),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.price.variations.changes.startDate,return.startDate is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.startDate),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.room.description.lang,LENGTH(return.room.description.lang)==2,daikon.inv.unary.string.FixedLengthString,(return.room.description.lang),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.room.type,LENGTH(return.room.type)==3,daikon.inv.unary.string.FixedLengthString,(return.room.type),main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.self,"input.lang is a substring of return.self
return.self is Url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.IsUrl","(input.lang, return.self)
(return.self)","main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT",1.0
data.self,"input.checkInDate is a substring of return.self
input.checkOutDate is a substring of return.self
input.countryOfResidence is a substring of return.self
input.currency is a substring of return.self
input.paymentPolicy is a substring of return.self
input.boardType is a substring of return.self
input.lang is a substring of return.self
return.hotel.hotelId is a substring of return.self
return.self is Url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.IsUrl","(input.checkInDate, return.self)
(input.checkOutDate, return.self)
(input.countryOfResidence, return.self)
(input.currency, return.self)
(input.paymentPolicy, return.self)
(input.boardType, return.self)
(input.lang, return.self)
(return.self, return.hotel.hotelId)
(return.self)","main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT",1.0
data.type,"return.type is a substring of return.self
return.hotel.type is a substring of return.type
LENGTH(return.type)==12
return.type == ""hotel-offers""","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.type, return.self)
(return.type, return.hotel.type)
(return.type)
(return.type)","main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT",1.0
